date,hour,actual,projected
2025-05-24,5,7.340574,9.954
2025-05-24,6,6.025598,11.061
2025-05-24,7,3.995556,10.306
2025-05-24,8,8.554778,12.848
2025-05-24,9,9.835449,18.963
2025-05-24,10,8.827229,17.205
2025-05-24,11,13.230157,18.364
2025-05-24,12,12.843055,13.959
2025-05-24,13,10.812086,11.883
2025-05-24,14,12.192127,8.938
2025-05-24,15,6.801244,9.698
2025-05-24,16,6.972738,6.5
2025-05-24,17,6.890526,6.504
2025-05-24,18,4.87673,5.76
2025-05-24,19,2.743741,3.587
2025-05-24,20,1.465981,2.289
2025-05-24,21,-0.088014,1.782
2025-05-24,22,-0.273296,3.568
2025-05-24,23,-0.218916,4.268
2025-05-24,24,-0.168616,1.934
2025-05-25,1,0.094705,0.861
2025-05-25,2,0.299637,0.217
2025-05-25,3,2.801041,1.433
2025-05-25,4,5.138897,1.699
2025-05-25,5,7.577293,10.24
2025-05-25,6,7.271271,7.119
2025-05-25,7,8.262366,6.36
2025-05-25,8,6.812722,6.519
2025-05-25,9,5.123038,3.416
2025-05-25,10,4.754519,9.819
2025-05-25,11,7.579642,8.888
2025-05-25,12,4.658685,15.258
2025-05-25,13,4.532855,14.359
2025-05-25,14,7.458747,16.766
2025-05-25,15,5.425147,17.825
2025-05-25,16,4.062339,18.654
2025-05-25,17,1.757596,16.066
2025-05-25,18,1.855836,11.642
2025-05-25,19,2.07966,2.821
2025-05-25,20,1.268578,1.063
2025-05-25,21,3.305379,0.791
2025-05-25,22,5.414797,0.036
2025-05-25,23,8.291986,1.624
2025-05-25,24,11.494652,8.617
2025-05-26,1,11.491577,18.176
2025-05-26,2,11.218967,16.993
2025-05-26,3,10.802063,12.392
2025-05-26,4,2.574002,8.339
2025-05-26,5,1.227038,2.061
2025-05-26,6,1.376227,3.828
2025-05-26,7,4.157068,9.681
2025-05-26,8,7.56517,10.99
2025-05-26,9,11.900948,5.222
2025-05-26,10,8.400697,5.299
2025-05-26,11,0.020443,7.671
2025-05-26,12,2.395094,13.194
2025-05-26,13,2.754126,8.943
2025-05-26,14,1.713607,9.037
2025-05-26,15,1.714569,9.19
2025-05-26,16,2.334314,14.817
2025-05-26,17,6.001865,5.018
2025-05-26,18,6.668387,3.655
2025-05-26,19,6.855356,2.102
2025-05-26,20,4.010052,4.755
2025-05-26,21,1.092746,2.417
2025-05-26,22,-0.065747,11.422
2025-05-26,23,2.520617,17.53
2025-05-26,24,3.214468,15.914
2025-05-27,1,5.563956,14.316
2025-05-27,2,8.684554,5.369
2025-05-27,3,8.77142,8.615
2025-05-27,4,8.271305,9.107
2025-05-27,5,6.196758,9.215
2025-05-27,6,5.333952,10.594
2025-05-27,7,5.021514,8.675
2025-05-27,8,4.967007,7.673
2025-05-27,9,5.169774,5.572
2025-05-27,10,8.723339,5.51
2025-05-27,11,8.612506,7.856
2025-05-27,12,7.475062,10.871
2025-05-27,13,8.980611,10.802
2025-05-27,14,11.195047,12.29
2025-05-27,15,13.16522,13.611
2025-05-27,16,14.703934,15.328
2025-05-27,17,18.60919,14.953
